epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.486,1.20858,1.72958,1.35042,0.79165,0.68419,0.78227,0.45929,1.36514,1.89703,1.43154,0.000647619,0.000647619,0.000647619
2,247.794,1.26195,1.36188,1.36945,0.70424,0.61193,0.66338,0.36452,1.4963,1.76732,1.66955,0.00118417,0.00118417,0.00118417
3,358.818,1.26461,1.22335,1.35546,0.76015,0.75,0.79051,0.46264,1.4167,1.37134,1.47116,0.00158872,0.00158872,0.00158872
4,470.76,1.22702,1.14918,1.32587,0.65571,0.70979,0.72722,0.42456,1.42381,1.61669,1.50771,0.001406,0.001406,0.001406
5,582.598,1.20927,1.06328,1.32716,0.70411,0.68227,0.72772,0.43528,1.40376,1.33694,1.44405,0.001208,0.001208,0.001208
6,697.266,1.18458,1.02934,1.31026,0.78715,0.77583,0.84083,0.52849,1.29021,1.13845,1.41712,0.00101,0.00101,0.00101
7,809.201,1.14681,0.93309,1.26041,0.85931,0.76884,0.86365,0.54269,1.31892,0.99987,1.38447,0.000812,0.000812,0.000812
8,922.116,1.1362,0.87857,1.25296,0.83765,0.8118,0.87638,0.59175,1.16747,0.9017,1.29588,0.000614,0.000614,0.000614
9,1043.32,1.09069,0.83336,1.24033,0.8268,0.87413,0.91384,0.61619,1.1667,0.83214,1.26405,0.000416,0.000416,0.000416
10,1161.48,1.0582,0.77327,1.20344,0.83595,0.85521,0.90604,0.62779,1.14244,0.81126,1.24997,0.000218,0.000218,0.000218
